"T","TMean","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","alphat","epsilon","k","nut","nutMean","p","p_rgh","p_rghMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
300,300,3.6068e-06,-8.4285e-08,2.0185,5.7386e-06,-3.3859e-07,2.0285,4.5458e-10,1.9675e-11,0.0029692,-6.462e-11,1.4857e-07,-6.1792e-07,0.55554,0.0036802,0.13629,0.47221,0.4957,99940,1e+05,1e+05,0,0,0,0,1,6,125,6,200
300,300,3.6178e-06,-8.5883e-08,2.0283,5.7503e-06,-3.4459e-07,2.0382,4.5512e-10,2.0315e-11,0.0029409,-6.5742e-11,1.5075e-07,-6.1196e-07,0.56435,0.0035984,0.13615,0.47969,0.50369,99939,1e+05,1e+05,0,0,0,0,1,6.1,125,6.1,200
300,300,3.6288e-06,-8.7482e-08,2.038,5.762e-06,-3.506e-07,2.048,4.5566e-10,2.0955e-11,0.0029127,-6.6863e-11,1.5294e-07,-6.06e-07,0.57316,0.0035166,0.136,0.48718,0.51168,99938,1e+05,1e+05,0,0,0,0,1,6.2,125,6.2,200
300,300,3.639e-06,-8.9025e-08,2.0474,5.7728e-06,-3.5656e-07,2.0574,4.5614e-10,2.1625e-11,0.0028837,-6.7973e-11,1.5496e-07,-5.9979e-07,0.58192,0.0034395,0.13585,0.49463,0.51964,99937,1e+05,1e+05,0,0,0,0,1,6.3,125,6.3,200
300,300,3.6442e-06,-9.017e-08,2.0546,5.7775e-06,-3.6218e-07,2.0646,4.5624e-10,2.2515e-11,0.0028494,-6.8999e-11,1.558e-07,-5.9177e-07,0.59031,0.0033965,0.13572,0.50177,0.52732,99936,1e+05,1e+05,0,0,0,0,1,6.4,125,6.4,200
300,300,3.6493e-06,-9.1314e-08,2.0618,5.7821e-06,-3.6781e-07,2.0718,4.5634e-10,2.3405e-11,0.0028151,-7.0025e-11,1.5663e-07,-5.8376e-07,0.59871,0.0033535,0.13559,0.5089,0.53501,99935,1e+05,1e+05,0,0,0,0,1,6.5,125,6.5,200
300,300,3.6545e-06,-9.2459e-08,2.0691,5.7868e-06,-3.7343e-07,2.0789,4.5644e-10,2.4296e-11,0.0027808,-7.1051e-11,1.5747e-07,-5.7575e-07,0.6071,0.0033105,0.13546,0.51604,0.54269,99934,1e+05,1e+05,0,0,0,0,1,6.6,125,6.6,200
300,300,3.6596e-06,-9.3604e-08,2.0763,5.7914e-06,-3.7905e-07,2.0861,4.5654e-10,2.5186e-11,0.0027464,-7.2077e-11,1.583e-07,-5.6773e-07,0.6155,0.0032675,0.13533,0.52317,0.55038,99933,1e+05,1e+05,0,0,0,0,1,6.7,125,6.7,200
300,300,3.6648e-06,-9.4748e-08,2.0835,5.7961e-06,-3.8468e-07,2.0933,4.5663e-10,2.6076e-11,0.0027121,-7.3102e-11,1.5914e-07,-5.5972e-07,0.62389,0.0032245,0.1352,0.53031,0.55807,99932,1e+05,1e+05,0,0,0,0,1,6.8,125,6.8,200
300,300,3.67e-06,-9.5893e-08,2.0907,5.8007e-06,-3.903e-07,2.1005,4.5673e-10,2.6966e-11,0.0026778,-7.4128e-11,1.5997e-07,-5.517e-07,0.63229,0.0031815,0.13507,0.53745,0.56575,99931,1e+05,1e+05,0,0,0,0,1,6.9,125,6.9,200
