# Setup from log.interADMFoam
# Benchmark: true
# Qin_: 178.467
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 1.92901e-08
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sac,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
10.768,0.0458199,1.30191e-07,0.0519628,9.01976,1.09986e-05,-1.80338e-10,1.6526,6.4033e-06,13.3917,-0.000681851
10.868,0.04582,1.30208e-07,0.051963,9.01983,1.09983e-05,-1.80287e-10,1.65259,6.40441e-06,13.3908,-0.000680258
10.968,0.0458201,1.30223e-07,0.0519633,9.01989,1.0998e-05,-1.80238e-10,1.65258,6.4055e-06,13.3899,-0.000678673
11.068,0.0458204,1.3024e-07,0.0519636,9.01997,1.09977e-05,-1.80185e-10,1.65257,6.4069e-06,13.389,-0.000677052
11.168,0.0458204,1.30258e-07,0.0519638,9.02003,1.09974e-05,-1.8013e-10,1.65256,6.40788e-06,13.3881,-0.000675482
11.268,0.0458205,1.30275e-07,0.051964,9.0201,1.09971e-05,-1.80079e-10,1.65256,6.4089e-06,13.3873,-0.000673908
11.368,0.0458207,1.30293e-07,0.0519644,9.02017,1.09968e-05,-1.80022e-10,1.65255,6.41021e-06,13.3864,-0.000672319
11.468,0.0458207,1.3031e-07,0.0519645,9.02022,1.09965e-05,-1.7997e-10,1.65254,6.41115e-06,13.3855,-0.000670778
11.568,0.0458209,1.3033e-07,0.0519648,9.02028,1.09962e-05,-1.79911e-10,1.65253,6.41231e-06,13.3846,-0.00066922
11.668,0.045821,1.30349e-07,0.0519651,9.02035,1.09959e-05,-1.79854e-10,1.65252,6.41344e-06,13.3837,-0.00066765
11.768,0.0458212,1.30367e-07,0.0519654,9.02042,1.09956e-05,-1.79799e-10,1.65252,6.41468e-06,13.3828,-0.000666075
11.868,0.0458211,1.30386e-07,0.0519654,9.02046,1.09953e-05,-1.79742e-10,1.65251,6.4154e-06,13.382,-0.000664564
11.968,0.0458211,1.30405e-07,0.0519656,9.02052,1.0995e-05,-1.79684e-10,1.6525,6.41635e-06,13.3811,-0.000663021
12.068,0.0458215,1.30424e-07,0.051966,9.0206,1.09947e-05,-1.79625e-10,1.65249,6.41785e-06,13.3802,-0.000661437
12.168,0.0458213,1.30443e-07,0.0519661,9.02065,1.09944e-05,-1.79568e-10,1.65249,6.4186e-06,13.3794,-0.000659902
12.268,0.0458218,1.30464e-07,0.0519666,9.02075,1.09941e-05,-1.79508e-10,1.65248,6.4202e-06,13.3785,-0.000658289
12.368,0.0458217,1.30482e-07,0.0519667,9.02079,1.09938e-05,-1.79452e-10,1.65247,6.42092e-06,13.3776,-0.000656797
12.468,0.0458218,1.30501e-07,0.0519669,9.02085,1.09935e-05,-1.79394e-10,1.65246,6.42203e-06,13.3768,-0.000655256
12.568,0.0458221,1.30521e-07,0.0519673,9.02093,1.09931e-05,-1.79336e-10,1.65246,6.42351e-06,13.3759,-0.000653678
12.668,0.0458225,1.3054e-07,0.0519677,9.02101,1.09928e-05,-1.79278e-10,1.65245,6.42494e-06,13.375,-0.000652112
12.768,0.0458223,1.30557e-07,0.0519678,9.02105,1.09925e-05,-1.79225e-10,1.65244,6.42568e-06,13.3742,-0.000650649
12.868,0.045823,1.30575e-07,0.0519684,9.02112,1.09922e-05,-1.79171e-10,1.65243,6.42755e-06,13.3733,-0.000649087
12.968,0.0458229,1.30591e-07,0.0519685,9.02112,1.09919e-05,-1.7912e-10,1.65242,6.42837e-06,13.3725,-0.000647723
13.068,0.0458232,1.30607e-07,0.0519689,9.02111,1.09916e-05,-1.7907e-10,1.65242,6.42971e-06,13.3716,-0.000646372
13.168,0.0458234,1.30621e-07,0.0519692,9.02112,1.09913e-05,-1.79025e-10,1.65241,6.43091e-06,13.3708,-0.000644961
13.268,0.0458238,1.30636e-07,0.0519696,9.02118,1.0991e-05,-1.78976e-10,1.6524,6.43249e-06,13.3699,-0.000643453
13.368,0.0458238,1.3065e-07,0.0519698,9.02122,1.09907e-05,-1.78931e-10,1.65239,6.43342e-06,13.3691,-0.000642005
13.468,0.0458239,1.30662e-07,0.05197,9.02129,1.09904e-05,-1.78889e-10,1.65239,6.43451e-06,13.3682,-0.000640474
13.568,0.0458243,1.30675e-07,0.0519705,9.02142,1.09901e-05,-1.78847e-10,1.65238,6.43605e-06,13.3674,-0.000638824
13.668,0.0458241,1.30688e-07,0.0519705,9.02146,1.09898e-05,-1.78803e-10,1.65237,6.43668e-06,13.3665,-0.000637372
13.768,0.0458242,1.30702e-07,0.0519708,9.02152,1.09895e-05,-1.78759e-10,1.65236,6.43778e-06,13.3657,-0.000635871
13.868,0.0458245,1.30716e-07,0.0519712,9.02161,1.09892e-05,-1.78713e-10,1.65236,6.43922e-06,13.3648,-0.00063431
13.968,0.0458244,1.30729e-07,0.0519713,9.02164,1.09889e-05,-1.7867e-10,1.65235,6.43998e-06,13.364,-0.000632897
14.068,0.0458246,1.30741e-07,0.0519716,9.02169,1.09886e-05,-1.78627e-10,1.65234,6.4412e-06,13.3632,-0.000631437
14.168,0.0458249,1.30755e-07,0.051972,9.02178,1.09883e-05,-1.78581e-10,1.65233,6.44262e-06,13.3623,-0.000629875
14.268,0.0458247,1.30769e-07,0.051972,9.02182,1.0988e-05,-1.78537e-10,1.65233,6.44328e-06,13.3615,-0.000628447
14.368,0.0458247,1.30781e-07,0.0519722,9.02189,1.09877e-05,-1.78496e-10,1.65232,6.44423e-06,13.3607,-0.000626949
14.468,0.0458252,1.30796e-07,0.0519727,9.022,1.09874e-05,-1.78448e-10,1.65231,6.44588e-06,13.3598,-0.000625359
14.568,0.0458249,1.30806e-07,0.0519727,9.022,1.09871e-05,-1.78411e-10,1.6523,6.44629e-06,13.359,-0.000624017
14.668,0.0458247,1.30818e-07,0.0519728,9.02204,1.09868e-05,-1.7837e-10,1.6523,6.44705e-06,13.3582,-0.000622603
14.768,0.0458251,1.3083e-07,0.0519732,9.02213,1.09865e-05,-1.7833e-10,1.65229,6.44856e-06,13.3574,-0.00062107
14.868,0.0458252,1.30843e-07,0.0519734,9.02216,1.09862e-05,-1.78286e-10,1.65228,6.44959e-06,13.3565,-0.000619658
14.968,0.0458252,1.30853e-07,0.0519736,9.02222,1.09859e-05,-1.7825e-10,1.65227,6.45057e-06,13.3557,-0.00061821
15.068,0.0458259,1.30864e-07,0.0519742,9.02232,1.09856e-05,-1.78211e-10,1.65227,6.45251e-06,13.3549,-0.000616649
15.168,0.0458256,1.30873e-07,0.0519742,9.02234,1.09853e-05,-1.78178e-10,1.65226,6.45296e-06,13.3541,-0.000615298
15.268,0.0458253,1.30881e-07,0.0519742,9.02235,1.0985e-05,-1.78146e-10,1.65225,6.45347e-06,13.3533,-0.00061395
15.368,0.0458259,1.30889e-07,0.0519748,9.02249,1.09847e-05,-1.78114e-10,1.65224,6.45537e-06,13.3524,-0.000612323
