# y+ ()           
# Time            	patch             	min               	max               	average           
222               	movingWall	6.1500393906e-01	2.7582152271e+00	1.0344389359e+00
222               	fixedWalls	9.8051290405e-04	2.1782261443e+00	3.0894534439e-01
224               	movingWall	6.1130776041e-01	2.7582564302e+00	1.0328332060e+00
224               	fixedWalls	1.8906958819e-03	2.1776192853e+00	3.1001794837e-01
226               	movingWall	6.2037426681e-01	2.7582784835e+00	1.0346090554e+00
226               	fixedWalls	6.5021955516e-04	2.1769351250e+00	3.0498890415e-01
228               	movingWall	6.1146654263e-01	2.7582157166e+00	1.0337404397e+00
228               	fixedWalls	2.9333399864e-03	2.1783927008e+00	3.1082974076e-01
230               	movingWall	6.1419730719e-01	2.7582691758e+00	1.0331705688e+00
230               	fixedWalls	1.2048834039e-03	2.1772479207e+00	3.0944302085e-01
232               	movingWall	6.1969376418e-01	2.7582591197e+00	1.0349792140e+00
232               	fixedWalls	1.6589076439e-03	2.1773694849e+00	3.0404626159e-01
234               	movingWall	6.0995087819e-01	2.7582181559e+00	1.0334056301e+00
234               	fixedWalls	2.7594476574e-03	2.1783291165e+00	3.0857010715e-01
236               	movingWall	6.1742647740e-01	2.7582826464e+00	1.0337025261e+00
236               	fixedWalls	5.9911430640e-04	2.1768825960e+00	3.0888401145e-01
238               	movingWall	6.1731389536e-01	2.7582385752e+00	1.0347246113e+00
238               	fixedWalls	1.9225703950e-03	2.1777816509e+00	3.0742344641e-01
240               	movingWall	6.0952852502e-01	2.7582388720e+00	1.0330573154e+00
240               	fixedWalls	1.9939683509e-03	2.1780428605e+00	3.0915643252e-01
242               	movingWall	6.2001108190e-01	2.7582824990e+00	1.0344023888e+00
242               	fixedWalls	6.3259831271e-04	2.1768157481e+00	3.0698787679e-01
244               	movingWall	6.1417171396e-01	2.7582163412e+00	1.0344600352e+00
244               	fixedWalls	2.4966980860e-03	2.1782530882e+00	3.0938187387e-01
246               	movingWall	6.1158430153e-01	2.7582556188e+00	1.0331453947e+00
246               	fixedWalls	1.7748257899e-03	2.1776357488e+00	3.0950494383e-01
248               	movingWall	6.2108732021e-01	2.7582751019e+00	1.0349929140e+00
