"UMean:0","UMean:1","UMean:2","Points:1"
6.9589e-06,-3.7049e-06,3.1521,48.6
6.9597e-06,-3.7205e-06,3.1532,48.7
6.9605e-06,-3.7361e-06,3.1544,48.8
6.9612e-06,-3.7518e-06,3.1555,48.9
6.962e-06,-3.7674e-06,3.1567,49.0
6.9628e-06,-3.783e-06,3.1578,49.1
6.9635e-06,-3.7987e-06,3.1589,49.2
6.9643e-06,-3.8143e-06,3.1601,49.3
6.9651e-06,-3.8299e-06,3.1612,49.4
6.9658e-06,-3.8456e-06,3.1624,49.5
6.9666e-06,-3.8612e-06,3.1635,49.6
6.9674e-06,-3.8768e-06,3.1646,49.7
6.9675e-06,-3.8929e-06,3.1658,49.8
6.9661e-06,-3.9102e-06,3.1668,49.9
6.9646e-06,-3.9275e-06,3.1679,50.0
6.9631e-06,-3.9447e-06,3.1689,50.1
6.9617e-06,-3.962e-06,3.1699,50.2
6.9602e-06,-3.9793e-06,3.171,50.3
6.9588e-06,-3.9966e-06,3.172,50.4
6.9573e-06,-4.0138e-06,3.1731,50.5
6.9558e-06,-4.0311e-06,3.1741,50.6
6.9544e-06,-4.0484e-06,3.1752,50.7
6.9529e-06,-4.0657e-06,3.1762,50.8
6.9515e-06,-4.0829e-06,3.1773,50.9
6.95e-06,-4.1002e-06,3.1783,51.0
6.9486e-06,-4.1175e-06,3.1794,51.1
6.9471e-06,-4.1348e-06,3.1804,51.2
6.9456e-06,-4.152e-06,3.1815,51.3
6.9442e-06,-4.1693e-06,3.1825,51.4
6.9427e-06,-4.1866e-06,3.1836,51.5
6.9413e-06,-4.2039e-06,3.1846,51.6
6.9398e-06,-4.2211e-06,3.1857,51.7
6.9383e-06,-4.2384e-06,3.1867,51.8
6.9369e-06,-4.2557e-06,3.1878,51.9
6.9354e-06,-4.2729e-06,3.1888,52.0
6.934e-06,-4.2902e-06,3.1899,52.1
6.9325e-06,-4.3075e-06,3.1909,52.2
6.9311e-06,-4.3248e-06,3.192,52.3
6.9296e-06,-4.342e-06,3.193,52.4
6.9281e-06,-4.3593e-06,3.194,52.5
6.9267e-06,-4.3766e-06,3.1951,52.6
6.9252e-06,-4.3939e-06,3.1961,52.7
6.9238e-06,-4.4111e-06,3.1972,52.8
6.9223e-06,-4.4284e-06,3.1982,52.9
6.9208e-06,-4.4457e-06,3.1993,53.0
6.9194e-06,-4.463e-06,3.2003,53.1
6.9179e-06,-4.4802e-06,3.2014,53.2
6.9165e-06,-4.4975e-06,3.2024,53.3
6.915e-06,-4.5148e-06,3.2035,53.4
6.9136e-06,-4.5321e-06,3.2045,53.5
6.9121e-06,-4.5493e-06,3.2056,53.6
6.9092e-06,-4.5675e-06,3.2066,53.7
6.9054e-06,-4.5861e-06,3.2075,53.8
6.9017e-06,-4.6048e-06,3.2085,53.9
